ms_record_file_location,ms_level_uri,unique_xpath,author_position_in_sequence,author_text_node,author-element-text-node,syriaca_headword_possibility1,syriaca_headword_current,author_uri_current,title_text_node,parent_item,author_uri_possibility1,author_uri_possibility2,author_uri_corrected,author_uri_corrected,author_role_current,author_role_corrected,msItem_xml-id,rubric,incipit,explicit,finalRubric,status,asignee,syriaca_notes,wright_catalogue_location,wright_entry_roman_numeral,shelf_mark,locus_start
/data/tei/183.xml,http://syriaca.org/manuscript/183,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[5]/msItem[6]/author,1,A bishop,A bishop,#N/A,#N/A,,"Extracts from a letter of a bishop to a friend , concerning certain sins","""A Collection of Ecclesiastical Canons"". Foll. 148a-162",,,,,,,c64,ܡܢ ܐܓܪܬܐ ܕܟܬ̣ܒ ܐܦܝܣ܏ܩܘ ܠܘܬ ܡܚܒܢܗ. ܡܛܠ ܣ̈ܟܠܘܬܐ ܡܕܡ ܡܕܡ,,,,question,Alexys Ahn,unspecified author,1:219-223,CCLXXXVI,Add MS 14493,154b
/data/tei/drafts/19.xml,http://syriaca.org/manuscript/19,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/author,1,"A monk of Edessa, named Severus","A monk of Edessa, named Severus",Severus of the Monastery of Saint Barbara,#N/A,,"A Catena Patrum, or Selections from the Writings of the Fathers, so arranged as to form a continuous commentary on the greater part of the Scriptures of the Old and New Testaments.",,http://syriaca.org/person/164,,,,,,a1,,,,,done,Alexys Ahn,,2:908-914,DCCCLIII,Add MS 12144,1
/data/tei/647.xml,https://syriaca.org/manuscript/647,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/msContents/msItem[5]/author,1,Abba Bishoi,Abba Bishoi,Bishoi of Constantinople,#N/A,,The history of Maximus and Domitius,,http://syriaca.org/person/3513,,,,,,p4a5,ܬܫܥܝܬܐ ܕܩܕ̈ܝܫܐ ܐܚ̈ܐ ܪ̈ܘܡܝܐ ܡܟܣܝܡܘܣ ܘܕܘܡܐܛܝܘܣ ܕܐܬܓܡ̣ܪܘ ܒܡܕܒܪܐ ܕܐܣܩܝܛܐ ܒܝܘ̈ܡܝ ܐܒܐ ܡܩܪܝܣ ܪܒܐ ܘܐܒܐ ܐܝܣܝܘܕܪܐ ܓܒܪܐ ܚܣܝܐ ܘܪܚ̇ܡ ܐܠܗܐ. ܡ̇ܟܬܒܐ ܕܝܢ ܠܛܘܒܢܐ ܐܒܐ ܒܝܫܘܝ ܪܝܫ ܡܫܡ̈ܫܢܐ ܕܥܕܬܐ ܕܩܘܢܣܛܝܢܘܦܘܠܝܣ܆ ܘܗ̣ܘ ܗܘ̣ܐ ܪܝܫ ܡܫ̈ܡܫܢܐ ܒܡܕܒܪܐ ܕܐܣܩܝܛܝ,,,,done,Alexys Ahn,,3:1120-1122,DCCCCLVIII,"Add MS 14735, foll. 72-173",98a
/data/tei/639.xml,https://syriaca.org/manuscript/639,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[2]/msItem[6]/author,1,Abbā Bīshoī,Abbā Bīshoī,Bishoi of Constantinople,#N/A,,". The history of Maximus and Domitius , written by Abbā Bīshoī","""Histories of holy Men and Women and of Martyrs"". Foll. 2b-",http://syriaca.org/person/3513,,,,,,p1b6,ܬܫܥܝ̣ܬܐ ܕܥܠ ܕܘܒ̣ܪ̈ܐ ܕܐܚ̈ܐ ܪ̈ܘܡ̣ܝܐ ܘܩܕ̈ܝܫܐ܇ ܡ̇ܰܐܟܣܻܝܡܳܘܣ̣ ܘܕܳܘܡܷܛܻܝܘܳܣ܇ ܕܐܬܬ݀ܠ̣ܡܕܘ ܗܘܘ: ܒܡ̇ܕܒܪܐ ܕܐܣ̣ܩܝܛܝ܇ ܒܝܘ̈ܡܝ ܐܒ̇ܐ ܡ̇ܩܪܝܣ ܪܒܐ ܘܡ̣ܨܪܝܐ: ܘܐܒ̇ܐ ܐܻܣܻܝܘܳܕܳܘܪܳܘܣ ܓܒܪܐ ܕܐܠܗܐ܀ ܡ̇ܟ̣ܬܒܐ ܕܝܢ܆ ܠܛܘܒ̣ܢܐ ܐܒ̇ܐ ܒܻܝܫܳܘܝ ܪܝܫ ܡܫ̈ܡܫܢܐ ܕܩܘܣܛܐܢܛܝܢܦܘܠܝܣ ܘܗ̣ܘ ܗܘ̣ܐ ܪܝܫ ܡܫܡܫ̈ܢܐ ܩܕܡܝܐ̣. ܒܡ̇ܕܒܪܐ ܕܐܣ̣ܩܝܛܝ,,,ܫܠ̣ܡܬ݀ ܬܫܥܝ̣ܬܐ ܕܐܒܗ̈ܬܐ ܩܕ̈ܝܫܐ ܘܛܒ̣ܝ̈ܒܐ̣. ܡ̇ܟ̣ܣܝܡܘܣ ܘܕܘܡ̣ܛܝܘܣ ܒ̈ܢܝ ܡ̈ܠ̣ܟܐ,done,Alexys Ahn,,3:1141-1146,DCCCCLXIII,"Add MS 14732, foll. 1-227",74b
/data/tei/409.xml,http://syriaca.org/manuscript/409,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[10]/author,1,Abbā Daniel,Abbā Daniel,Daniel of Scetis,#N/A,,"A story concerning a monk and his sister , narrated by Abbā Daniel","""Forty-one Lives of Saints and Martyrdoms"". Foll. -",http://syriaca.org/person/1203,,,,,,b9,ܬܘܒ ܬܫܥܝܬܐ ܕܐܒܐ ܕܢܝܐܝܠ ܥܠ ܕܝܪܝܐ ܚܕ ܘܚܬܐ ܕܝܠܗ,,,,reviewed,Justin Arnwine,Likely Daniel of Scetis (see the Syriaca work URI: http://syriaca.org/work/1179),3:1111-1116,DCCCCLII,Add MS 14645,154a
/data/tei/342.xml,http://syriaca.org/manuscript/342,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/msContents/msItem[4]/msItem[1]/author,1,Abbā Moses,Abbā Moses,Moses the Indian,#N/A,,Sayings of Abbā Moses,"""Extracts from the Lives of the Egyptian Fathers"". Foll. 95a-146",http://syriaca.org/person/1386,http://syriaca.org/person/1938,,,,,p2b5,ܡܠܦܢܘܬܐ ܕܡ̈ܠܘܗܝ ܕܐܒܐ ܡܘܫܐ,,,,reviewed,Justin Arnwine,More likely Moses the Black,II:744-745,DCCLXXII,Add MS 14606,95a
/data/tei/635.xml,https://syriaca.org/manuscript/635,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/msContents/msItem[9]/author,1,Abbā Pambo,Abbā Pambo,#N/A,#N/A,,A saying of Abbā Pambo,,,,,,,,p2a9,ܗ̣ܘ ܐܒܐ ܬܐܝܕܘܪܐ ܫܐܠ ܠܐܒܐ ܦܡܒܘ ܏ܘܫ,,,,no Syriaca entry,Alexys Ahn,,3:1122-1123,DCCCCLIX,"Add MS 14730, foll. 112-164",154a
/data/tei/342.xml,http://syriaca.org/manuscript/342,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/msContents/msItem[4]/msItem[2]/author,1,Abbā Poemen,Abbā Poemen,#N/A,Poemen,http://syriaca.org/person/2739,Sayings of Abbā Poemen,"""Extracts from the Lives of the Egyptian Fathers"". Foll. 95a-146",,,,,,,p2b6,ܬܘܒ ܡ̈ܠܘܗܝ ܕܐܒܐ ܦܘܡܝܢ,,,,done,Alexys Ahn,,II:744-745,DCCLXXII,Add MS 14606,96b
/data/tei/980.xml,http://syriaca.org/manuscript/980,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[3]/msItem[23]/author,1,Abbā the Catholicus,Abbā the Catholicus,"Aba I, catholicos",#N/A,,"At compline, by Abbā the Catholicus .","""Hymns and Prayers for various occasions."". Foll. 149b-166",http://syriaca.org/person/306,,,,,,b27,ܕܣܘܒܥܐ܀ ܠܡܪܝ ܐܒܐ ܩܬܘ܏ܠܝ.,ܫܘܒܚܠܟ (sic) ܡܪܝ ܡܐ ܛܒ ܐܢܬ. ܏ܘܫ.,,,reviewed,Justin Arnwine,Assemani cross-reference suggests Aba I (d. 552),1:134-136,CXCI,Add MS 17219,165b
/data/tei/drafts/29.xml,http://syriaca.org/manuscript/29,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[3]/msItem[32]/msItem[2]/author[1],1,Abbat Jacob of Kaphrā Rěhīmā,Abbat Jacob of Kaphrā Rěhīmā,#N/A,#N/A,,To the abbat Jacob of Kaphrā Rěhīmā,"Simeon Stylites. ""Letters of Simeon Stylites"". Foll. -",,,,,,,c45,ܐܚܪܬܐ̣ ܠܘܬ ܡܪܝ ܝܥܩܘܒ ܕܟܦܪܐ ܪܚܝܡܐ.,,,,no Syriaca entry,Alexys Ahn,,2:976-989,DCCCLX,Add MS 12154,200a
